#,Ticker,Price,DCF Price,DCF Diff %,Target Price,Target Diff %,# Targets,Consensus Rating,# Ratings,Expected Return,Financial Score,Piotroski Score,PE ratio,PEG ratio,Insiders Change,Institutional Change,Senate Change
327,CTAS,199.70,67.14,-66.4,184.00,-7.9,1,33,1,-2.59,3,7,48.0,-0.95,74.65%,-0.02%,100
328,CINF,139.09,374.55,169.3,126.00,-9.4,1,33,1,-3.11,4,5,7.1,0.17,0.00%,2.03%,-
329,NTRS,112.82,183.96,63.1,102.00,-9.6,1,33,1,-3.16,3,6,13.4,1.32,100.00%,10.31%,-
330,PARA,11.13,-1.40,-112.6,10.00,-10.2,1,33,1,-3.36,3,6,-1.3,0.61,100.00%,-41.82%,-
331,PFG,83.70,166.82,99.3,69.00,-17.6,1,33,4,-5.79,2,4,-93.6,0.80,42.86%,-0.32%,-
332,CCL,27.84,-,-,22.00,-21.0,1,33,1,-6.92,2,7,18.9,0.87,0.00%,11.05%,-
333,HII,192.76,556.55,188.7,-,-,0,33,1,-,3,6,10.9,-1.79,100.00%,19.95%,-
334,COR,257.38,718.04,179.0,-,-,0,33,1,-,3,8,33.5,-1.81,51.80%,1.86%,100
335,GL,122.30,308.41,152.2,-,-,0,33,1,-,3,6,9.8,1.49,35.81%,-32.66%,-
336,MET,87.32,197.74,126.5,-,-,0,33,1,-,3,7,16.2,0.48,38.33%,5.22%,-
337,SJM,106.77,236.09,121.1,-,-,0,33,1,-,3,6,21.6,-2.43,100.00%,5.38%,-
338,CLX,158.13,340.90,115.6,-,-,0,33,1,-,3,9,55.0,2.00,59.71%,-10.93%,-
339,COF,205.01,422.09,105.9,-,-,0,33,1,-,3,5,18.0,-47.99,0.00%,3.77%,-
340,PLD,120.20,235.06,95.6,-,-,0,33,1,-,3,6,36.1,3.77,95.86%,-0.61%,-
341,CHTR,359.91,413.09,14.8,-,-,0,33,4,-,3,8,11.0,6.13,0.00%,-3.25%,0
342,DELL,102.53,117.05,14.2,-,-,0,33,1,-,2,8,17.7,-0.25,39.62%,16.24%,-
343,RF,24.89,27.11,8.9,-,-,0,33,1,-,3,6,12.0,1.12,45.10%,-3.90%,-
344,EXPD,115.28,124.32,7.8,-,-,0,33,1,-,4,5,22.1,2.19,14.65%,11.56%,-
345,STZ,182.50,193.76,6.2,-,-,0,33,1,-,4,9,48.2,2.39,13.99%,-16.71%,-
346,NVR,8028.59,6980.30,-13.1,-,-,0,33,1,-,4,5,15.1,11.51,32.38%,-5.42%,-
347,UDR,40.95,32.11,-21.6,-,-,0,33,1,-,2,6,105.7,-14.44,100.00%,-10.87%,-
