horizon,group_type,group,count,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,alpha_hit_rate,alpha_hit_rate_ci_lo,alpha_hit_rate_ci_hi,mean_return,mean_return_ci_lo,mean_return_ci_hi,median_return,avg_alpha,net_avg_alpha,net_alpha_hit_rate,net_alpha_hit_rate_ci_lo,net_alpha_hit_rate_ci_hi,avg_beta,avg_alpha_eur,avg_beta_adj_alpha_eur,low_sample,proven_signal
t60,by_tier,mega,82,67.1,59.3,70.4,55.7,45.7,65.7,6.38,2.78,6.35,5.16,1.46,1.17,54.3,44.3,64.3,1.35,2.22,0.62,False,True
t60,by_tier,mid,24,54.2,37.5,70.8,57.9,42.1,78.9,-0.79,-3.9,2.36,1.65,-1.87,-2.23,52.6,31.6,68.4,1.17,-1.56,-1.87,True,False
t60,by_tier,small,1,100.0,100.0,100.0,100.0,100.0,100.0,32.81,32.81,32.81,32.81,32.16,31.56,100.0,100.0,100.0,0.63,33.05,33.21,True,False
t60,by_region,eu,55,81.8,72.7,89.1,79.3,65.5,89.7,4.3,2.92,5.75,4.55,4.22,3.93,75.9,62.1,89.7,0.99,4.72,4.72,False,True
t60,by_region,hk,6,33.3,0.0,66.7,16.7,0.0,50.0,-3.97,-9.03,0.71,-3.0,-6.15,-6.37,16.7,0.0,50.0,,-6.23,,True,False
t60,by_region,us,139,66.9,56.5,73.2,53.9,46.1,61.7,7.84,1.7,8.57,5.36,0.22,-0.12,53.0,45.2,60.9,1.21,0.69,-0.44,False,True
t60,signal_x_tier,large_B,46,78.3,67.4,87.0,60.0,45.7,71.4,4.1,1.81,6.4,6.21,1.49,1.25,60.0,45.7,71.4,0.75,1.61,3.05,False,True
t60,signal_x_tier,mega_B,44,61.4,47.7,72.7,54.5,40.9,68.2,2.89,-0.19,6.0,2.7,1.04,0.86,54.5,43.2,65.9,1.38,1.58,2.15,False,False
t60,signal_x_tier,mid_B,12,50.0,25.0,75.0,62.5,37.5,87.5,-0.46,-2.73,1.85,-0.58,0.4,0.04,50.0,25.0,75.0,1.02,1.12,1.1,True,False
t60,signal_x_tier,small_B,1,100.0,100.0,100.0,100.0,100.0,100.0,32.81,32.81,32.81,32.81,32.16,31.56,100.0,100.0,100.0,0.63,33.05,33.21,True,False
t60,signal_x_tier,large_H,31,41.9,29.0,58.1,19.0,4.8,33.3,-0.47,-3.12,2.15,2.95,-2.93,-3.17,19.0,4.8,33.3,1.01,-2.75,-2.51,False,False
t60,signal_x_tier,mega_H,22,13.6,4.5,27.3,9.1,0.0,18.2,5.18,1.38,9.08,6.74,3.29,3.11,9.1,0.0,18.2,1.6,4.62,-1.62,True,False
t60,signal_x_tier,mid_H,5,40.0,0.0,80.0,0.0,0.0,0.0,8.35,2.78,13.86,6.64,7.52,7.16,0.0,0.0,0.0,2.43,7.51,4.54,True,False
t60,signal_x_tier,large_S,16,0.0,0.0,0.0,0.0,0.0,0.0,36.96,27.66,45.03,45.62,5.44,3.44,0.0,0.0,0.0,1.57,5.44,4.26,True,False
t60,signal_x_tier,mega_S,16,18.8,6.2,37.5,75.0,25.0,100.0,17.63,11.35,23.44,22.75,-4.0,-6.0,100.0,100.0,100.0,1.06,-4.01,-4.22,True,False
t60,signal_x_tier,mid_S,7,57.1,28.6,85.7,57.1,28.6,85.7,-7.88,-14.53,-1.13,-15.27,-9.83,-10.19,57.1,28.6,85.7,0.54,-9.82,-8.93,True,False
t90,by_signal,S,6,0.0,0.0,0.0,,,,27.98,20.89,34.88,27.82,,,,,,1.37,,,True,False
t90,by_tier,large,3,0.0,0.0,0.0,,,,38.31,37.0,39.63,38.0,,,,,,1.63,,,True,False
t90,by_tier,mega,3,0.0,0.0,0.0,,,,17.64,16.56,18.72,17.86,,,,,,1.11,,,True,False
t90,by_region,us,6,0.0,0.0,0.0,,,,27.98,20.78,35.04,27.82,,,,,,1.37,,,True,False
t90,signal_x_tier,large_S,3,0.0,0.0,0.0,,,,38.31,37.0,39.63,38.0,,,,,,1.63,,,True,False
t90,signal_x_tier,mega_S,3,0.0,0.0,0.0,,,,17.64,16.56,18.72,17.86,,,,,,1.11,,,True,False
