ticker
NVDA
MSFT
LYXGRE.DE
AMZN
META
GOOGL
TLT
KO
BABA
FXI
OIL
BTC
DSV.CO
BAC
TSM
01114.HK
AMD
GXI.DE
AVGO
FLTR.L
DD
0700.HK
TMO
ASML
3968.HK
UNH
INDA
SHEL.L
01211.HK
01928.HK
1810.HK
00857.HK
02386.HK
FCC.MC
AAPL
ACX.MC
669.HK
0914.HK
NOMD
0939.HK
VIX.MAY25
02382.HK
FRO.OL
GTT.PA
DHR
SCYR.MC
DMP.DE
00285.HK
SHL.DE
CVE
00001.HK
ADBE
00257.HK
AGI
06060.HK
CIE.MC
02319.HK
03908.HK
COP
STM.DE
IFX.DE
02313.HK
INDV.L
BFST
PRU.L
2318.HK
LADR
ETH
SNY
AZE.BR
03993.HK
DCO
SWR.L
83.HK
2338.HK
02018.HK
03690.HK
0992.HK
SK.PA
1299.HK
VRN
9618.HK
1109.HK
FI
SIMO
AC.PA
QCRH
2883.HK
LOW
VK.PA
AKE.PA
DEZ.DE
00027.HK
PAYS
1585.HK
RITM
GFT.DE
ENC.MC
GNFT.PA
ET
SCHP.PA
LSS.PA
ICOS.MI
COA.L
IWG.L
LXFR
BAKKA.OL
SGHC
CCJ
SPM.MI
GLO.PA
QDT.PA
COR.LS
VAC.PA
ACN
0390.HK
CADLR.OL
2899.HK
3323.HK
OBK
ROVI.MC
ALM.MC
