symbols
EURUSD=X
GBPUSD=X
NZDUSD=X
CAD=X
JPY=X
CHF=X
AUDUSD=X
EURGBP=X
EURCHF=X
EURJPY=X
GBPJPY=X
EURAUD=X
EURCAD=X
AUDJPY=X
CADJPY=X
CHFJPY=X
BZ=F
GC=F
SI=F
HG=F
NG=F
^UUP-IV
^CLTBDIOOR
^CLTBDIOOR
^CLTBDIOOR
^CLTBGUCCI
^CLTBGUCCI
^CLTBZNITH
^CLTBGUCCI
^CLTBDIOOR
not_found
^CLTBVACRN
not_found
^CLTBDIOOR
HKD=X
PL=F
PA=F
ZAR=X
^CLTBDIOOR
RUB=X
CNH=X
AUDCHF=X
AUDCAD=X
AUDNZD=X
EURNZD=X
GBPAUD=X
GBPCHF=X
GBPNZD=X
NZDCAD=X
NZDCHF=X
NZDJPY=X
CADCHF=X
NOK=X
SEK=X
NOKSEK=X
EURNOK=X
EURSEK=X
TRY=X
MXN=X
SGD=X
GBPCAD=X
ZARJPY=X
EURPLN=X
HUF=X
EURHUF=X
GBPHUF=X
CHFHUF=X
PLN=X
DKK=X
EURDKK=X
CZK=X
SB=F
CT=F
not_found
CC=F
ZW=F
not_found
^CLTBDIOOR
WISGP.SI
M2K=F
OJ=F
"nt"":3"
not_found
not_found
OATS5.MI
ZR=F
CORN
SOYB.MI
not_found
not_found
RB=F
HO=F
LE=F
HET=F
LEAD
HINDZINC.BO
BRE3L.MI
NIKL
ALI=F
^CLTBGUCCI
COAL
5463.T
DC=F
LBR=F
7F=F
^SPGDEPY
"nt"":3"
not_found
ILS=X
GBPILS=X
EURILS=X
COP=X
CLP=X
KRW=X
BRL=X
^VIX
BZ=F
AAPL
GOOG
META
MSFT
AMZN
not_found
not_found
0HCB.L
AEC1D.XC
BA.NE
MER-PK
CAT1.BE
CSCO.MX
CVX
not_found
DIS
49P.F
HD.VI
2HP.DU
IBM
INTC
JNJ
JPM.BA
EMBONOR-B.SN
MCD.BA
MMM
MRK.BA
PFE
PG
ATOS
PA9.DU
UNH
^RTX
BAC.BE
WMT
XOM
C
HMCN.MX
not_found
MUF.MU
MAST.VI
1NKE.MI
PEPB34.SA
SONA.SG
TOMA.SG
V
VODJ.SG
not_found
0P00001487.F
COLPAL.NS
EBAY
ENR.BE
not_found
not_found
"nt"":1"
not_found
OWL
LBRDP
^CLTBVACRN
TTAN
TTAN
OPCH
0L8.BE
1GSN.SG
PRVA
BTU
JXC1.F
OWY.F
SMCI
BH3.F
ENVX
AMR
CALM
C9X0.HM
NEOG
VERU
SIGA
^CRWDBOOK
ESGU
"nt"":3"
MBB
^CLTBDIOOR
"nt"":3"
"nt"":1"
EFV
STIP
^CLTBDIOOR
"nt"":1"
not_found
"nt"":3"
^CLTBDIOOR
^CLTBDIOOR
IWV
SCZ
EFG
^CLTBZNITH
"nt"":3"
FLOT
"nt"":3"
not_found
not_found
not_found
not_found
SANN.MX
TEFO.BA
MV90.F
CX
not_found
TV.BA
not_found
TSLA
F.MX
LVS.MX
not_found
not_found
^CLTBWOWOM
FSLR
BRKB.MX
WU
GAP
RL
HAR.F
TRIP.MX
EA.MX
URBN
ADBE
NFLX
MSI.BA
WDC
MTE.BE
ANF
"nt"":2"
AGNC.MX
ADSK.MX
ORCL
LMT
NVDA
FDX
not_found
CAR
BIDU
SBUX
AMGN.MX
TTAN
CHKP
MOSC34.SA
not_found
DP5.SG
STZ
LMND
T12.DU
FTRE
