#,TICKER,COMPANY,CAP,PRICE,TARGET,UPSIDE,# T,% BUY,# A,A,EXRET,BETA,PET,PEF,PEG,DIV %,SI,EARNINGS,% SI,SI_value
1,DNR.MI,INDUSTRIE DE N,1.52B,7.7,11.4,47.2%,6.0,83%,6.0,A,39.4%,0.5,18.4,16.8,--,1.23%,--,--,--,--
2,HABA.DE,HAMBORNER REIT,0.49B,6.0,7.8,29.6%,5.0,100%,5.0,A,29.6%,0.7,60.5,31.8,--,8.16%,--,--,--,--
