symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,21,7.38213,451.1857,-227.734,-30.849,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GOOG,Alphabet,1002,6,6.699014,300.3777,101.649,15.174,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,8,6.112537,400.0054,-32.859,-5.376,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
AMZN,Amazon.com Inc,1005,22,5.436518,207.9579,790.333,145.375,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,5,4.698329,32.6289,-96.542,-20.548,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.090665,2.0808,518.372,126.721,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
AAPL,Apple,1001,10,3.949705,253.7153,196.873,49.845,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
NVDA,NVIDIA Corporation,1137,19,3.855643,147.3514,3338.888,865.974,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
META,Meta Platforms Inc,1003,11,3.678845,678.0476,-199.655,-54.271,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
DTE.DE,Deutsche Telekom AG,1207,2,1.88083,29.61,-20.567,-10.935,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
0700.HK,Tencent,2339,6,1.880828,529.71,-89.655,-47.668,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
LLY,Eli Lilly & Co,1567,3,1.88081,990.0479,40.791,21.688,2026-02-06T18:53:53.847Z,True,1,5,5,NASDAQ,5,False
BAC,Bank of America Corp,1011,2,1.877379,54.739,5.37,2.861,2026-01-12T08:39:48.937Z,True,1,5,5,NASDAQ,4,False
7012.T,Kawasaki Heavy Industries Ltd.,14641,2,1.845836,2898.155,17.165,9.299,2026-06-15T02:31:00.367Z,True,1,5,56,Tokyo,1,False
BTC-USD,Bitcoin,100000,12,1.692492,108806.0945,-512.33,-302.707,2025-04-28T07:53:49.04Z,True,1,10,8,eToro,,False
ETH-USD,Ethereum,100001,20,1.620597,3917.3627,-928.657,-573.034,2025-06-21T21:11:22.21Z,True,1,10,8,eToro,,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,2,1.410622,292.3134,119.717,84.868,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
MSTR,Strategy Inc,6473,3,1.410621,290.22,-182.359,-129.276,2025-09-25T10:54:40.683Z,True,1,5,4,NASDAQ,8,False
9201.T,Japan Airlines Co. Ltd.,14710,3,1.002835,2596.9562,20.611,20.553,2026-06-11T06:26:00.36Z,True,1,5,56,Tokyo,1,False
SYK,Stryker Corp,1689,1,0.940415,308.4023,0.006,0.006,2026-06-12T13:52:35.14Z,True,1,5,5,NASDAQ,5,False
6702.T,Fujitsu Ltd.,14619,1,0.940415,3423.18,-8.548,-9.09,2026-05-27T00:03:51.82Z,True,1,5,56,Tokyo,1,False
UCG.MI,UniCredit Commercial Bank,1307,1,0.940415,73.16,9.38,9.974,2026-06-12T12:39:58.723Z,True,1,5,11,CBOE EU,4,False
V,Visa,1046,1,0.940415,318.6365,2.688,2.858,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
MTO.L,Mitie Group PLC,2744,1,0.940415,164.4,-7.913,-8.415,2026-06-09T10:12:04.003Z,True,1,5,7,LSE PLC,3,False
BKNG,Booking Holdings Inc,1481,1,0.940415,162.3784,5.617,5.973,2026-06-12T13:50:42.123Z,True,1,5,4,NASDAQ,7,False
SAN.MC,Banco Santander SA,7615,1,0.940415,10.866,8.502,9.041,2026-06-12T12:39:40.313Z,True,1,5,10,CBOE EU,4,False
NKE,NIKE,1042,1,0.940415,45.6047,-1.216,-1.293,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
SU.PA,Schneider Electric SE,1265,1,0.940415,264.95,7.952,8.456,2026-06-12T12:38:06.1Z,True,1,5,9,Euronext,6,False
BPE.MI,BPER Banca,1277,1,0.940415,11.636,17.624,18.741,2026-05-25T08:49:56.637Z,True,1,5,11,CBOE EU,4,False
BARC.L,Barclays,2013,1,0.940415,468.55,5.611,5.967,2026-06-12T12:41:32.623Z,True,1,5,7,LSE PLC,4,False
VST,Vistra Corp,4363,1,0.940415,156.4858,4.354,4.63,2026-04-21T15:12:08.387Z,True,1,5,5,NASDAQ,9,False
VRTX,Vertex Pharmaceuticals Incorporated,4179,1,0.940415,443.4153,1.485,1.579,2026-06-12T13:51:48.813Z,True,1,5,4,NASDAQ,5,False
MCD,McDonald's,1025,1,0.940415,275.7,1.262,1.342,2026-05-13T11:42:57.193Z,True,1,5,5,NASDAQ,7,False
NFLX,"Netflix, Inc.",1127,1,0.940415,87.35,-11.494,-12.222,2026-05-13T11:43:25.037Z,True,1,5,4,NASDAQ,7,False
0175.HK,Geely Automobile Holdings Ltd,2360,1,0.940415,19.7,-6.364,-6.767,2026-06-15T01:30:11.923Z,True,1,5,21,HKEX,3,False
JPM,JPMorgan Chase & Co,1023,1,0.940394,325.1427,0.187,0.199,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
AVGO,Broadcom Inc,4236,1,0.940317,380.3603,8.103,8.617,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
GILD,Gilead Sciences Inc,1465,1,0.940314,125.1966,-1.515,-1.611,2026-06-12T13:51:27.25Z,True,1,5,4,NASDAQ,5,False
AIR.PA,AIRBUS SE,1234,1,0.940302,179.84,6.06,6.444,2026-06-12T12:38:27.44Z,True,1,5,9,Euronext,7,False
7269.T,Suzuki Motor Corp.,14651,1,0.940301,1960.25,-3.451,-3.67,2026-05-27T00:06:46.973Z,True,1,5,56,Tokyo,1,False
TSLA,"Tesla Motors, Inc.",1111,1,0.940223,393.01,1.397,1.486,2026-06-09T15:57:06.387Z,True,1,5,4,NASDAQ,3,False
HEIA.NV,Heineken,4521,1,0.940165,70.82,-1.663,-1.768,2026-06-12T12:43:08.887Z,True,1,5,30,Euronext,3,False
8001.T,ITOCHU Corp.,14667,1,0.940055,1928.75,-5.649,-6.009,2026-05-27T00:02:57.343Z,True,1,5,56,Tokyo,1,False
SBMO.NV,SBM Offshore NV,4534,1,0.939857,33.68,-5.545,-5.899,2026-06-02T12:32:27.163Z,True,1,5,30,Euronext,9,False
VRT,Vertiv Holdings Co,8867,1,0.939516,299.6933,11.16,11.879,2026-06-12T13:30:26.723Z,True,1,5,5,NASDAQ,3,False
5803.T,Fujikura Ltd.,14594,1,0.876788,4473.5,14.712,16.78,2026-06-15T02:31:00.267Z,True,1,5,56,Tokyo,1,False
FISV,Fiserv Inc,1865,1,0.470207,49.3718,-2.434,-5.177,2026-06-15T15:41:25.2Z,True,1,5,4,NASDAQ,7,False
SPCX,Space Exploration Technologies Corp,15618,1,0.470207,204.47,11.219,23.86,2026-06-17T12:16:01.74Z,False,1,5,4,NASDAQ,8,False
2020.HK,ANTA Sports Products Ltd,2384,1,0.470207,76.95,-7.75,-16.483,2026-06-15T01:30:13.33Z,True,1,5,21,HKEX,3,False
AMD,Advanced Micro Devices Inc,1832,1,0.441172,196.1774,173.655,393.623,2026-03-17T20:52:56.463Z,True,1,5,4,NASDAQ,8,False
EMAAR.AE,Emaar Properties PJSC,10002,1,0.423187,12.58,3.665,8.661,2026-06-17T09:02:33.383Z,True,1,5,39,DFM,4,False
