symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
GOOG,Alphabet,1002,10,9.985469,312.4406,165.16,16.54,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
MSFT,Microsoft,1004,22,7.848708,437.7277,377.214,48.061,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
NVDA,NVIDIA Corporation,1137,23,7.613762,172.6349,3523.645,462.799,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,9,7.04965,398.0824,-56.123,-7.961,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
AAPL,Apple,1001,10,5.169854,281.2758,165.481,32.009,2025-09-08T16:59:47.893Z,True,1,5,4,NASDAQ,3,False
AMZN,Amazon.com Inc,1005,21,4.964017,205.7402,1201.22,241.986,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
META,Meta Platforms Inc,1003,12,4.147136,663.0148,-168.825,-40.709,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.088775,2.0808,654.254,160.012,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,5,3.75992,385.1199,76.655,20.388,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,4,3.756706,27.7834,-55.669,-14.819,2026-05-21T13:55:38.323Z,True,1,6,20,eToro,4,False
MU,"Micron Technology, Inc.",1130,4,3.289731,997.8663,-30.51,-9.274,2026-06-24T20:36:14.73Z,True,1,5,4,NASDAQ,8,False
DTE.DE,Deutsche Telekom AG,1207,2,1.87996,29.61,-13.024,-6.928,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
NKE,NIKE,1042,2,1.87996,43.7041,-8.993,-4.784,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
AVGO,Broadcom Inc,4236,2,1.878812,391.1999,13.372,7.117,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
0700.HK,Tencent,2339,5,1.738963,535.4595,-38.506,-22.143,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
V,Visa,1046,2,1.40997,332.7577,17.904,12.698,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
UCG.MI,UniCredit Commercial Bank,1307,2,1.40997,76.5567,19.626,13.919,2026-06-12T12:39:58.723Z,True,1,5,11,CBOE EU,4,False
ROP.ZU,Roche Holding Ltd,1402,2,1.409959,359.8333,-0.34,-0.241,2026-07-27T11:00:57.837Z,True,1,5,12,CBOE EU,3,False
TPL,Texas Pacific Land Corporation,8869,1,0.93998,422.7935,-7.047,-7.497,2026-07-24T17:22:16.46Z,True,1,5,5,NASDAQ,1,False
LLY,Eli Lilly & Co,1567,1,0.93998,1205.96,-6.28,-6.681,2026-07-24T14:17:57.01Z,True,1,5,5,NASDAQ,5,False
PLTR,Palantir Technologies Inc.,7991,2,0.93998,133.735,39.858,42.403,2026-07-29T00:14:22.853Z,True,1,5,4,NASDAQ,8,False
INVEB.ST,Investor AB ser. B,5854,1,0.93998,404.65,6.816,7.252,2026-07-28T09:15:28.777Z,True,1,5,15,Nasdaq Nordic,4,False
FSLR,"First Solar, Inc.",1117,1,0.93998,201.7919,20.669,21.989,2026-07-29T13:53:19.233Z,True,1,5,4,NASDAQ,8,False
JPM,JPMorgan Chase & Co,1023,1,0.939959,325.1427,9.936,10.571,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
7269.T,Suzuki Motor Corp.,14651,1,0.939866,1960.25,-0.638,-0.679,2026-05-27T00:06:46.973Z,True,1,5,56,Tokyo,1,False
NFLX,"Netflix, Inc.",1127,1,0.939853,73.85,-0.068,-0.072,2026-07-16T19:36:13.633Z,True,1,5,4,NASDAQ,7,False
ASML.NV,ASML Holding NV,4509,1,0.939847,1421.6,4.341,4.619,2026-07-31T14:09:42.897Z,True,1,5,30,Euronext,8,False
URW.PA,Unibail-Rodamco-Westfield,4548,1,0.939528,105.75,1.244,1.324,2026-07-28T10:01:52.613Z,True,1,5,9,Euronext,4,False
SMSN.L,Samsung Electronics Co Ltd - GDR,2175,1,0.938846,4968.0,-10.266,-10.934,2026-07-01T13:12:48.773Z,True,1,5,7,LSE PLC,8,False
ETOR,eToro Group LTD,12200,2,0.938736,38.2257,-4.614,-4.916,2026-06-26T17:17:57.44Z,True,1,5,4,NASDAQ,4,False
EXEL,Exelixis Inc,6084,1,0.771441,55.4996,0.83,1.075,2026-07-22T13:46:47.86Z,True,1,5,4,NASDAQ,3,False
