symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,23,8.780273,438.3001,-99.323,-11.312,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GOOG,Alphabet,1002,7,7.628474,306.8915,77.832,10.203,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,9,7.0429,398.0824,-67.289,-9.554,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
NVDA,NVIDIA Corporation,1137,22,6.667398,169.5991,3174.117,476.065,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
AMZN,Amazon.com Inc,1005,22,5.428805,207.9578,873.572,160.914,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
AAPL,Apple,1001,11,4.88318,262.8583,322.295,66.001,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
META,Meta Platforms Inc,1003,12,4.143165,663.0148,-70.52,-17.021,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.08486,2.0808,500.404,122.502,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,4,3.753029,34.1674,-109.797,-29.256,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,4,3.28678,380.4228,60.912,18.532,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
0700.HK,Tencent,2339,6,1.87816,529.71,-43.484,-23.153,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
DTE.DE,Deutsche Telekom AG,1207,2,1.87816,29.61,-19.413,-10.336,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
MU,"Micron Technology, Inc.",1130,2,1.877961,1051.3867,-29.801,-15.869,2026-06-24T20:36:14.73Z,True,1,5,4,NASDAQ,8,False
AVGO,Broadcom Inc,4236,2,1.877013,391.1999,-5.323,-2.836,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
9201.T,Japan Airlines Co. Ltd.,14710,3,1.001412,2596.9562,29.492,29.45,2026-06-11T06:26:00.36Z,True,1,5,56,Tokyo,1,False
7012.T,Kawasaki Heavy Industries Ltd.,14641,2,0.947074,2866.1301,-18.556,-19.593,2026-06-15T02:31:00.367Z,True,1,5,56,Tokyo,1,False
MCD,McDonald's,1025,1,0.93908,275.7,-3.406,-3.627,2026-05-13T11:42:57.193Z,True,1,5,5,NASDAQ,7,False
NKE,NIKE,1042,1,0.93908,45.6047,-5.383,-5.732,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
V,Visa,1046,1,0.93908,318.6365,12.611,13.429,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
RPRX,Royalty Pharma PLC,6520,1,0.93908,56.3244,1.697,1.807,2026-07-14T13:44:40.247Z,True,1,5,4,NASDAQ,3,False
UCG.MI,UniCredit Commercial Bank,1307,1,0.93908,73.16,9.315,9.919,2026-06-12T12:39:58.723Z,True,1,5,11,CBOE EU,4,False
VOW.DE,VOLKSWAGEN AG,3659,1,0.93908,77.25,-2.911,-3.1,2026-07-06T13:02:08.973Z,True,1,5,6,Xetra,3,False
0175.HK,Geely Automobile Holdings Ltd,2360,1,0.93908,19.7,-4.879,-5.196,2026-06-15T01:30:11.923Z,True,1,5,21,HKEX,3,False
6702.T,Fujitsu Ltd.,14619,1,0.93908,3423.18,-4.572,-4.869,2026-05-27T00:03:51.82Z,True,1,5,56,Tokyo,1,False
IBM,International Business Machines Corporation (IBM),1020,1,0.939068,222.4671,-4.233,-4.508,2026-07-14T13:48:57.643Z,True,1,5,5,NASDAQ,8,False
JPM,JPMorgan Chase & Co,1023,1,0.939059,325.1427,4.271,4.548,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
7269.T,Suzuki Motor Corp.,14651,1,0.938966,1960.25,3.374,3.593,2026-05-27T00:06:46.973Z,True,1,5,56,Tokyo,1,False
NFLX,"Netflix, Inc.",1127,1,0.938953,73.85,-8.504,-9.057,2026-07-16T19:36:13.633Z,True,1,5,4,NASDAQ,7,False
TSLA,"Tesla Motors, Inc.",1111,1,0.938888,393.01,-5.448,-5.802,2026-06-09T15:57:06.387Z,True,1,5,4,NASDAQ,3,False
8001.T,ITOCHU Corp.,14667,1,0.938721,1928.75,-2.008,-2.139,2026-05-27T00:02:57.343Z,True,1,5,56,Tokyo,1,False
SMSN.L,Samsung Electronics Co Ltd - GDR,2175,1,0.937947,4968.0,-14.453,-15.409,2026-07-01T13:12:48.773Z,True,1,5,7,LSE PLC,8,False
BARC.L,Barclays,2013,1,0.469596,468.55,9.797,20.863,2026-06-12T12:41:32.623Z,True,1,5,7,LSE PLC,4,False
NEM,Newmont Mining Corp,1757,1,0.46954,92.44,-2.899,-6.175,2026-07-14T00:05:39.82Z,True,1,5,5,NASDAQ,1,False
ETOR,eToro Group LTD,12200,1,0.46954,40.65,-9.84,-20.957,2026-06-26T17:17:57.44Z,True,1,5,4,NASDAQ,4,False
2020.HK,ANTA Sports Products Ltd,2384,1,0.46954,76.95,-0.45,-0.958,2026-06-15T01:30:13.33Z,True,1,5,21,HKEX,3,False
ISP.MI,Intesa Sanpaolo Group,1288,1,0.46954,6.325,-0.231,-0.492,2026-07-14T13:46:40.263Z,True,1,5,11,CBOE EU,4,False
9988.HK,Alibaba Group Holding Ltd (Hong Kong),2402,1,0.46954,99.7,17.17,36.568,2026-06-24T06:46:15.653Z,True,1,5,21,HKEX,7,False
SAN.MC,Banco Santander SA,7615,1,0.469528,10.866,7.077,15.072,2026-06-12T12:39:40.313Z,True,1,5,10,CBOE EU,4,False
SBMO.NV,SBM Offshore NV,4534,1,0.469516,32.66,-0.473,-1.008,2026-07-14T07:00:18.167Z,True,1,5,30,Euronext,9,False
KAP.L,Nac Kazatomprom Jsc-Gdr Regs,11192,1,0.468878,70.8,-6.073,-12.953,2026-07-06T09:45:43.573Z,True,1,5,7,LSE PLC,1,False
1398.HK,Industrial And Commercial Bank of China,2302,1,0.44952,6.65,6.646,14.784,2026-06-29T04:00:00.267Z,True,1,5,21,HKEX,4,False
1585.HK,Yadea Group Holdings Ltd,2405,1,0.42513,9.5,6.99,16.441,2026-07-07T04:00:00.493Z,True,1,5,21,HKEX,3,False
EMAAR.AE,Emaar Properties PJSC,10002,1,0.422586,12.58,-12.232,-28.946,2026-06-17T09:02:33.383Z,True,1,5,39,DFM,4,False
0027.HK,Galaxy Entertainment Group Ltd,2358,1,0.332861,30.0,7.126,21.408,2026-06-24T09:31:03.097Z,True,1,5,21,HKEX,3,False
