symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,23,8.733168,438.3001,-249.656,-28.587,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,9,7.005116,398.0824,-56.778,-8.105,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
GOOG,Alphabet,1002,6,6.65362,300.3777,42.252,6.35,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
NVDA,NVIDIA Corporation,1137,21,5.697585,165.6792,2893.639,507.871,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
AMZN,Amazon.com Inc,1005,22,5.399678,207.9579,660.176,122.262,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
AAPL,Apple,1001,11,4.856982,262.8583,139.069,28.633,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
META,Meta Platforms Inc,1003,12,4.120937,663.0148,-235.979,-57.263,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.062944,2.0808,484.805,119.324,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,4,3.732895,34.1674,-83.394,-22.34,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,3,2.335105,362.5559,91.696,39.269,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
DTE.DE,Deutsche Telekom AG,1207,2,1.868084,29.61,-25.975,-13.905,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
0700.HK,Tencent,2339,6,1.868084,529.71,-119.32,-63.873,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
LLY,Eli Lilly & Co,1567,3,1.868065,990.0479,75.524,40.429,2026-02-06T18:53:53.847Z,True,1,5,5,NASDAQ,5,False
AVGO,Broadcom Inc,4236,2,1.866944,391.1999,-12.88,-6.899,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
BAC,Bank of America Corp,1011,2,1.864657,54.739,11.546,6.192,2026-01-12T08:39:48.937Z,True,1,5,5,NASDAQ,4,False
BTC-USD,Bitcoin,100000,12,1.681024,108806.1033,-542.97,-323.0,2025-04-28T07:53:49.04Z,True,1,10,8,eToro,,False
