symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,23,8.79854,438.3001,-272.906,-31.017,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,9,7.057549,398.0824,-73.854,-10.465,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
GOOG,Alphabet,1002,6,6.703421,300.3777,72.133,10.761,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
NVDA,NVIDIA Corporation,1137,21,5.74023,165.6792,2935.35,511.365,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
AMZN,Amazon.com Inc,1005,22,5.440097,207.9578,756.594,139.077,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
AAPL,Apple,1001,11,4.893339,262.8583,123.195,25.176,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
META,Meta Platforms Inc,1003,12,4.151784,663.0148,-216.77,-52.211,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.093358,2.0808,506.488,123.734,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,4,3.760835,34.1674,-98.532,-26.2,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,3,2.352583,362.5559,107.71,45.784,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
0700.HK,Tencent,2339,6,1.882067,529.71,-109.511,-58.187,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
DTE.DE,Deutsche Telekom AG,1207,2,1.882066,29.61,-36.357,-19.318,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
AVGO,Broadcom Inc,4236,2,1.880917,391.1999,-10.44,-5.55,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
BAC,Bank of America Corp,1011,2,1.878614,54.739,10.486,5.582,2026-01-12T08:39:48.937Z,True,1,5,5,NASDAQ,4,False
BTC-USD,Bitcoin,100000,12,1.693606,108806.0985,-547.09,-323.032,2025-04-28T07:53:49.04Z,True,1,10,8,eToro,,False
ETH-USD,Ethereum,100001,20,1.621662,3917.3646,-1001.064,-617.308,2025-06-21T21:11:22.21Z,True,1,10,8,eToro,,False
9201.T,Japan Airlines Co. Ltd.,14710,3,1.003494,2596.9562,24.648,24.563,2026-06-11T06:26:00.36Z,True,1,5,56,Tokyo,1,False
7012.T,Kawasaki Heavy Industries Ltd.,14641,2,0.949045,2866.1301,-3.131,-3.299,2026-06-15T02:31:00.367Z,True,1,5,56,Tokyo,1,False
SPCX,Space Exploration Technologies Corp,15618,2,0.941034,185.785,24.029,25.535,2026-06-17T12:16:01.74Z,False,1,5,4,NASDAQ,8,False
SYK,Stryker Corp,1689,1,0.941033,308.4023,6.679,7.097,2026-06-12T13:52:35.14Z,True,1,5,5,NASDAQ,5,False
6702.T,Fujitsu Ltd.,14619,1,0.941033,3423.18,-6.893,-7.324,2026-05-27T00:03:51.82Z,True,1,5,56,Tokyo,1,False
UCG.MI,UniCredit Commercial Bank,1307,1,0.941033,73.16,3.247,3.45,2026-06-12T12:39:58.723Z,True,1,5,11,CBOE EU,4,False
V,Visa,1046,1,0.941033,318.6365,6.576,6.988,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
MTO.L,Mitie Group PLC,2744,1,0.941033,164.4,-9.312,-9.896,2026-06-09T10:12:04.003Z,True,1,5,7,LSE PLC,3,False
BKNG,Booking Holdings Inc,1481,1,0.941033,162.3784,11.252,11.958,2026-06-12T13:50:42.123Z,True,1,5,4,NASDAQ,7,False
NKE,NIKE,1042,1,0.941033,45.6047,-9.176,-9.751,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
SU.PA,Schneider Electric SE,1265,1,0.941033,264.95,3.29,3.497,2026-06-12T12:38:06.1Z,True,1,5,9,Euronext,6,False
VRTX,Vertex Pharmaceuticals Incorporated,4179,1,0.941033,443.4153,10.957,11.643,2026-06-12T13:51:48.813Z,True,1,5,4,NASDAQ,5,False
MCD,McDonald's,1025,1,0.941033,275.7,-3.518,-3.739,2026-05-13T11:42:57.193Z,True,1,5,5,NASDAQ,7,False
NFLX,"Netflix, Inc.",1127,1,0.941033,87.35,-15.386,-16.351,2026-05-13T11:43:25.037Z,True,1,5,4,NASDAQ,7,False
ACN,Accenture Plc,1450,1,0.941033,126.8931,-2.516,-2.674,2026-06-23T19:53:37.77Z,True,1,5,5,NASDAQ,7,False
0175.HK,Geely Automobile Holdings Ltd,2360,1,0.941033,19.7,-14.531,-15.442,2026-06-15T01:30:11.923Z,True,1,5,21,HKEX,3,False
LLY,Eli Lilly & Co,1567,2,0.941014,931.8746,62.998,66.947,2026-04-16T12:13:59.293Z,True,1,5,5,NASDAQ,5,False
JPM,JPMorgan Chase & Co,1023,1,0.941013,325.1427,1.322,1.404,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
GILD,Gilead Sciences Inc,1465,1,0.940933,125.1966,0.202,0.215,2026-06-12T13:51:27.25Z,True,1,5,4,NASDAQ,5,False
AIR.PA,AIRBUS SE,1234,1,0.94092,179.84,5.173,5.498,2026-06-12T12:38:27.44Z,True,1,5,9,Euronext,7,False
7269.T,Suzuki Motor Corp.,14651,1,0.940919,1960.25,-2.748,-2.92,2026-05-27T00:06:46.973Z,True,1,5,56,Tokyo,1,False
TSLA,"Tesla Motors, Inc.",1111,1,0.940841,393.01,3.817,4.057,2026-06-09T15:57:06.387Z,True,1,5,4,NASDAQ,3,False
MU,"Micron Technology, Inc.",1130,1,0.940834,1176.85,-4.193,-4.457,2026-06-24T20:36:14.73Z,True,1,5,4,NASDAQ,8,False
HEIA.NV,Heineken,4521,1,0.940784,70.82,2.904,3.087,2026-06-12T12:43:08.887Z,True,1,5,30,Euronext,3,False
8001.T,ITOCHU Corp.,14667,1,0.940674,1928.75,-6.291,-6.687,2026-05-27T00:02:57.343Z,True,1,5,56,Tokyo,1,False
SBMO.NV,SBM Offshore NV,4534,1,0.940475,33.68,-11.16,-11.866,2026-06-02T12:32:27.163Z,True,1,5,30,Euronext,9,False
VRT,Vertiv Holdings Co,8867,1,0.940134,299.6933,2.425,2.579,2026-06-12T13:30:26.723Z,True,1,5,5,NASDAQ,3,False
VST,Vistra Corp,4363,1,0.674466,156.4858,3.524,5.225,2026-04-21T15:12:08.387Z,True,1,5,5,NASDAQ,9,False
BARC.L,Barclays,2013,1,0.470573,468.55,6.931,14.729,2026-06-12T12:41:32.623Z,True,1,5,7,LSE PLC,4,False
FISV,Fiserv Inc,1865,1,0.470517,49.3718,-1.259,-2.677,2026-06-15T15:41:25.2Z,True,1,5,4,NASDAQ,7,False
ETOR,eToro Group LTD,12200,1,0.470517,40.65,0.074,0.157,2026-06-26T17:17:57.44Z,True,1,5,4,NASDAQ,4,False
9988.HK,Alibaba Group Holding Ltd (Hong Kong),2402,1,0.470517,99.7,-6.669,-14.175,2026-06-24T06:46:15.653Z,True,1,5,21,HKEX,7,False
2020.HK,ANTA Sports Products Ltd,2384,1,0.470517,76.95,-7.802,-16.581,2026-06-15T01:30:13.33Z,True,1,5,21,HKEX,3,False
NOW,ServiceNow Inc,4260,1,0.47051,96.8086,3.317,7.05,2026-06-26T17:17:23.04Z,True,1,5,5,NASDAQ,8,False
SAN.MC,Banco Santander SA,7615,1,0.470504,10.866,8.303,17.646,2026-06-12T12:39:40.313Z,True,1,5,10,CBOE EU,4,False
PR,Permian Resources Corp,6197,1,0.470268,18.94,-2.429,-5.164,2026-06-22T17:12:21.23Z,True,1,5,4,NASDAQ,3,False
1398.HK,Industrial And Commercial Bank of China,2302,1,0.450455,6.65,-0.59,-1.309,2026-06-29T04:00:00.267Z,True,1,5,21,HKEX,4,False
AMD,Advanced Micro Devices Inc,1832,1,0.441462,196.1774,173.064,392.025,2026-03-17T20:52:56.463Z,True,1,5,4,NASDAQ,8,False
EMAAR.AE,Emaar Properties PJSC,10002,1,0.423465,12.58,-3.967,-9.367,2026-06-17T09:02:33.383Z,True,1,5,39,DFM,4,False
0027.HK,Galaxy Entertainment Group Ltd,2358,1,0.333553,30.0,-0.689,-2.065,2026-06-24T09:31:03.097Z,True,1,5,21,HKEX,3,False
