symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,21,8.297503,451.1857,58.215,7.016,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GOOG,Alphabet,1002,5,7.001169,295.932,90.592,12.94,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,6,6.316551,32.6216,-60.11,-9.516,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
AMZN,Amazon.com Inc,1005,22,6.110637,207.9578,954.842,156.259,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.597901,2.0808,450.539,97.988,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
NVDA,NVIDIA Corporation,1137,19,4.333734,147.3514,3616.481,834.495,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
AAPL,Apple,1001,9,3.91095,247.8052,262.161,67.032,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
GLD,SPDR Gold,3025,5,3.699409,414.741,-2.954,-0.799,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
META,Meta Platforms Inc,1003,10,3.606504,694.7317,-165.71,-45.948,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
DTE.DE,Deutsche Telekom AG,1207,2,2.11405,29.61,-4.847,-2.293,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
NU,Nu Holdings Ltd.,8597,2,2.11405,13.76,-24.248,-11.47,2026-02-26T19:04:23.857Z,True,1,5,5,NASDAQ,4,False
0700.HK,Tencent,2339,6,2.114048,529.71,-37.641,-17.805,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
LLY,Eli Lilly & Co,1567,3,2.114027,990.048,30.425,14.392,2026-02-06T18:53:53.847Z,True,1,5,5,NASDAQ,5,False
BAC,Bank of America Corp,1011,2,2.110171,54.739,-8.552,-4.053,2026-01-12T08:39:48.937Z,True,1,5,5,NASDAQ,4,False
BTC-USD,Bitcoin,100000,12,1.902359,108806.0965,-467.761,-245.884,2025-04-28T07:53:49.04Z,True,1,10,8,eToro,,False
ETH-USD,Ethereum,100001,19,1.819811,3919.3072,-828.668,-455.359,2025-06-21T21:11:22.21Z,True,1,10,8,eToro,,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,2,1.585537,292.3134,108.112,68.186,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
MSTR,Strategy Inc,6473,3,1.585536,290.22,-157.383,-99.262,2025-09-25T10:54:40.683Z,True,1,5,4,NASDAQ,8,False
6702.T,Fujitsu Ltd.,14619,1,1.057025,3423.18,3.747,3.545,2026-05-27T00:03:51.82Z,True,1,5,56,Tokyo,1,False
V,Visa,1046,1,1.057025,318.6365,-0.074,-0.07,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
NOVO-B.CO,Novo Nordisk B A/S,2260,1,1.057025,254.55,7.78,7.36,2026-02-23T14:04:53.623Z,True,1,5,16,Nasdaq Nordic,5,False
NKE,NIKE,1042,1,1.057025,45.6047,-4.111,-3.889,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
BPE.MI,BPER Banca,1277,1,1.057025,11.636,0.4,0.378,2026-05-25T08:49:56.637Z,True,1,5,11,CBOE EU,4,False
VST,Vistra Corp,4363,1,1.057025,156.4858,0.846,0.801,2026-04-21T15:12:08.387Z,True,1,5,5,NASDAQ,9,False
MCD,McDonald's,1025,1,1.057025,275.7,0.294,0.278,2026-05-13T11:42:57.193Z,True,1,5,5,NASDAQ,7,False
6758.T,Sony Group Corp.-ADR,1044,1,1.057025,22.9637,-0.844,-0.798,2026-02-27T15:32:16.893Z,True,1,5,5,NASDAQ,3,False
NFLX,"Netflix, Inc.",1127,1,1.057025,87.35,-4.431,-4.191,2026-05-13T11:43:25.037Z,True,1,5,4,NASDAQ,7,False
SCHW,Charles Schwab Corp,1802,1,1.057025,97.387,-10.152,-9.605,2026-02-20T13:23:19.047Z,True,1,5,5,NASDAQ,4,False
JPM,JPMorgan Chase & Co,1023,1,1.057001,325.1427,-7.702,-7.287,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
7269.T,Suzuki Motor Corp.,14651,1,1.056897,1960.25,-2.115,-2.001,2026-05-27T00:06:46.973Z,True,1,5,56,Tokyo,1,False
8001.T,ITOCHU Corp.,14667,1,1.056621,1928.75,-3.83,-3.625,2026-05-27T00:02:57.343Z,True,1,5,56,Tokyo,1,False
SBMO.NV,SBM Offshore NV,4534,1,1.056398,33.68,-0.941,-0.89,2026-06-02T12:32:27.163Z,True,1,5,30,Euronext,9,False
AMD,Advanced Micro Devices Inc,1832,1,0.495877,196.1774,163.873,330.472,2026-03-17T20:52:56.463Z,True,1,5,4,NASDAQ,8,False
