symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
GOOG,Alphabet,1002,9,9.339468,308.8885,1.051,11.256,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
NVDA,NVIDIA Corporation,1137,23,7.472836,172.6349,2.782,37.231,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,7,6.454538,25.1253,-1.304,-20.21,2026-05-21T13:55:38.323Z,True,1,6,20,eToro,4,False
MSFT,Microsoft,1004,17,6.07971,431.6148,0.867,14.258,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,6,5.535322,393.5053,0.446,8.053,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
AAPL,Apple,1001,10,5.074164,281.2758,0.583,11.49,2025-09-08T16:59:47.893Z,True,1,5,4,NASDAQ,3,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.013095,2.0808,2.011,50.118,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,4,3.229037,380.4228,0.485,15.014,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
META,Meta Platforms Inc,1003,9,3.055535,693.0122,-0.615,-20.119,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
AMZN,Amazon.com Inc,1005,9,1.874073,189.0192,0.736,39.283,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
MA,Mastercard,1041,2,1.845164,561.211,0.061,3.331,2026-08-12T15:20:23.54Z,True,1,5,5,NASDAQ,4,False
NKE,NIKE,1042,2,1.845164,43.7042,-0.119,-6.468,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
V,Visa,1046,3,1.845164,339.9033,0.177,9.595,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
LLY,Eli Lilly & Co,1567,2,1.845164,1198.4945,0.09,4.875,2026-07-24T14:17:57.01Z,True,1,5,5,NASDAQ,5,False
0700.HK,Tencent,2339,5,1.706776,535.4595,-0.249,-14.58,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
MU,"Micron Technology, Inc.",1130,2,1.383873,893.8133,0.119,8.58,2026-07-14T00:11:56.93Z,True,1,5,4,NASDAQ,8,False
NOVN.ZU,Novartis AG,2948,3,1.383867,125.8867,0.038,2.739,2026-07-28T09:16:50.963Z,True,1,5,12,CBOE EU,5,False
ROP.ZU,Roche Holding Ltd,1402,2,1.383862,359.8333,0.072,5.178,2026-07-27T11:00:57.837Z,True,1,5,12,CBOE EU,3,False
EXEL,Exelixis Inc,6084,2,1.218454,54.3281,-0.004,-0.287,2026-07-22T13:46:47.86Z,True,1,5,4,NASDAQ,3,False
T.US,AT&T Inc,1030,1,0.922582,24.29,0.04,4.323,2026-08-13T00:43:05.87Z,True,1,5,5,NASDAQ,8,False
NEM,Newmont Mining Corp,1757,2,0.922582,99.0847,0.312,33.872,2026-07-14T00:05:39.82Z,True,1,5,5,NASDAQ,1,False
SNDK,Sandisk Corp/DE,8804,2,0.922582,1491.915,0.089,9.65,2026-08-06T13:56:02.68Z,True,1,5,4,NASDAQ,8,False
ITX.MC,Industria de Diseno Textil SA,1332,2,0.922582,57.66,0.025,2.69,2026-07-31T14:12:01.227Z,True,1,5,10,CBOE EU,3,False
GSK.L,GlaxoSmithKline,2036,1,0.922582,1876.0,0.026,2.769,2026-08-19T10:46:37.467Z,True,1,5,7,LSE PLC,5,False
CHE,Chemed Corp,6059,2,0.922582,536.7482,0.007,0.706,2026-08-04T14:27:40.62Z,True,1,5,5,NASDAQ,3,False
LQDA,Liquidia Corporation,7930,2,0.922582,75.9472,-0.089,-9.665,2026-08-17T14:55:42.45Z,True,1,5,4,NASDAQ,3,False
STX.US,Seagate Technology PLC,4356,2,0.922582,874.8086,-0.023,-2.447,2026-08-05T22:27:47.447Z,True,1,5,4,NASDAQ,8,False
AMAT,Applied Materials Inc,1706,2,0.922582,536.9998,-0.078,-8.476,2026-08-13T08:59:28.98Z,True,1,5,4,NASDAQ,8,False
DTE.DE,Deutsche Telekom AG,1207,1,0.922582,32.53,-0.107,-11.614,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
7741.T,HOYA Corp.,14658,2,0.922576,26312.5006,-0.052,-5.668,2026-08-10T00:58:43.01Z,True,1,5,56,Tokyo,1,False
GTT.PA,Gaztransport et Technigaz SA,3563,1,0.922542,202.0,0.028,3.052,2026-08-13T07:33:03.397Z,True,1,5,9,Euronext,9,False
ASML.NV,ASML Holding NV,4509,1,0.922452,1421.6,0.068,7.332,2026-07-31T14:09:42.897Z,True,1,5,30,Euronext,8,False
URW.PA,Unibail-Rodamco-Westfield,4548,1,0.922138,105.75,0.001,0.138,2026-07-28T10:01:52.613Z,True,1,5,9,Euronext,4,False
SIG.ASX,Sigma Healthcare Ltd,15688,2,0.921789,2.9075,0.003,0.293,2026-08-18T01:28:53.49Z,True,1,5,31,CBOE AUS,1,False
HCSG,Healthcare Services Group Inc,9764,2,0.921774,23.0094,-0.009,-1.014,2026-08-03T15:49:46.55Z,True,1,5,4,NASDAQ,3,False
