symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,22,8.270852,443.027,-277.646,-33.569,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,9,7.009101,398.0824,-32.844,-4.686,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
GOOG,Alphabet,1002,6,6.657404,300.3777,64.663,9.713,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
AMZN,Amazon.com Inc,1005,22,5.402751,207.9579,672.123,124.404,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
AAPL,Apple,1001,11,4.859747,262.8583,195.188,40.164,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
NVDA,NVIDIA Corporation,1137,20,4.766266,160.1269,3286.791,689.595,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,5,4.669148,32.6289,-99.024,-21.208,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.065258,2.0808,520.746,128.097,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
META,Meta Platforms Inc,1003,11,3.655996,678.0476,-217.354,-59.451,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,3,2.336433,362.5559,120.707,51.663,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
0700.HK,Tencent,2339,6,1.869147,529.71,-94.558,-50.589,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
DTE.DE,Deutsche Telekom AG,1207,2,1.869146,29.61,-27.082,-14.489,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
LLY,Eli Lilly & Co,1567,3,1.869127,990.0479,41.721,22.321,2026-02-06T18:53:53.847Z,True,1,5,5,NASDAQ,5,False
AVGO,Broadcom Inc,4236,2,1.868006,391.1999,-0.412,-0.22,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
BAC,Bank of America Corp,1011,2,1.865718,54.739,8.294,4.445,2026-01-12T08:39:48.937Z,True,1,5,5,NASDAQ,4,False
BTC-USD,Bitcoin,100000,12,1.681981,108806.0965,-498.317,-296.268,2025-04-28T07:53:49.04Z,True,1,10,8,eToro,,False
ETH-USD,Ethereum,100001,20,1.61053,3917.3626,-913.594,-567.263,2025-06-21T21:11:22.21Z,True,1,10,8,eToro,,False
MSTR,Strategy Inc,6473,3,1.401861,290.22,-184.513,-131.62,2025-09-25T10:54:40.683Z,True,1,5,4,NASDAQ,8,False
9201.T,Japan Airlines Co. Ltd.,14710,3,0.996606,2596.9562,20.232,20.301,2026-06-11T06:26:00.36Z,True,1,5,56,Tokyo,1,False
7012.T,Kawasaki Heavy Industries Ltd.,14641,2,0.94253,2866.1301,16.86,17.888,2026-06-15T02:31:00.367Z,True,1,5,56,Tokyo,1,False
SPCX,Space Exploration Technologies Corp,15618,2,0.934574,185.785,33.045,35.358,2026-06-17T12:16:01.74Z,False,1,5,4,NASDAQ,8,False
SYK,Stryker Corp,1689,1,0.934573,308.4023,-1.006,-1.076,2026-06-12T13:52:35.14Z,True,1,5,5,NASDAQ,5,False
6702.T,Fujitsu Ltd.,14619,1,0.934573,3423.18,-10.088,-10.794,2026-05-27T00:03:51.82Z,True,1,5,56,Tokyo,1,False
UCG.MI,UniCredit Commercial Bank,1307,1,0.934573,73.16,8.271,8.85,2026-06-12T12:39:58.723Z,True,1,5,11,CBOE EU,4,False
V,Visa,1046,1,0.934573,318.6365,2.154,2.305,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
MTO.L,Mitie Group PLC,2744,1,0.934573,164.4,-9.62,-10.294,2026-06-09T10:12:04.003Z,True,1,5,7,LSE PLC,3,False
BKNG,Booking Holdings Inc,1481,1,0.934573,162.3784,2.23,2.386,2026-06-12T13:50:42.123Z,True,1,5,4,NASDAQ,7,False
SAN.MC,Banco Santander SA,7615,1,0.934573,10.866,9.452,10.114,2026-06-12T12:39:40.313Z,True,1,5,10,CBOE EU,4,False
NKE,NIKE,1042,1,0.934573,45.6047,-5.163,-5.525,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
SU.PA,Schneider Electric SE,1265,1,0.934573,264.95,8.862,9.482,2026-06-12T12:38:06.1Z,True,1,5,9,Euronext,6,False
BARC.L,Barclays,2013,1,0.934573,468.55,8.759,9.372,2026-06-12T12:41:32.623Z,True,1,5,7,LSE PLC,4,False
VST,Vistra Corp,4363,1,0.934573,156.4858,6.399,6.847,2026-04-21T15:12:08.387Z,True,1,5,5,NASDAQ,9,False
VRTX,Vertex Pharmaceuticals Incorporated,4179,1,0.934573,443.4153,1.936,2.072,2026-06-12T13:51:48.813Z,True,1,5,4,NASDAQ,5,False
MCD,McDonald's,1025,1,0.934573,275.7,-1.886,-2.018,2026-05-13T11:42:57.193Z,True,1,5,5,NASDAQ,7,False
NFLX,"Netflix, Inc.",1127,1,0.934573,87.35,-16.394,-17.541,2026-05-13T11:43:25.037Z,True,1,5,4,NASDAQ,7,False
0175.HK,Geely Automobile Holdings Ltd,2360,1,0.934573,19.7,-11.785,-12.61,2026-06-15T01:30:11.923Z,True,1,5,21,HKEX,3,False
JPM,JPMorgan Chase & Co,1023,1,0.934553,325.1427,1.186,1.269,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
GILD,Gilead Sciences Inc,1465,1,0.934474,125.1966,-2.266,-2.425,2026-06-12T13:51:27.25Z,True,1,5,4,NASDAQ,5,False
AIR.PA,AIRBUS SE,1234,1,0.934461,179.84,4.337,4.642,2026-06-12T12:38:27.44Z,True,1,5,9,Euronext,7,False
7269.T,Suzuki Motor Corp.,14651,1,0.93446,1960.25,-4.04,-4.324,2026-05-27T00:06:46.973Z,True,1,5,56,Tokyo,1,False
TSLA,"Tesla Motors, Inc.",1111,1,0.934383,393.01,2.509,2.685,2026-06-09T15:57:06.387Z,True,1,5,4,NASDAQ,3,False
HEIA.NV,Heineken,4521,1,0.934326,70.82,-0.867,-0.928,2026-06-12T12:43:08.887Z,True,1,5,30,Euronext,3,False
8001.T,ITOCHU Corp.,14667,1,0.934216,1928.75,-5.752,-6.157,2026-05-27T00:02:57.343Z,True,1,5,56,Tokyo,1,False
SBMO.NV,SBM Offshore NV,4534,1,0.934019,33.68,-5.127,-5.489,2026-06-02T12:32:27.163Z,True,1,5,30,Euronext,9,False
VRT,Vertiv Holdings Co,8867,1,0.93368,299.6933,19.345,20.72,2026-06-12T13:30:26.723Z,True,1,5,5,NASDAQ,3,False
FISV,Fiserv Inc,1865,1,0.467287,49.3718,-4.298,-9.197,2026-06-15T15:41:25.2Z,True,1,5,4,NASDAQ,7,False
2020.HK,ANTA Sports Products Ltd,2384,1,0.467287,76.95,-9.742,-20.849,2026-06-15T01:30:13.33Z,True,1,5,21,HKEX,3,False
PR,Permian Resources Corp,6197,1,0.46704,18.94,0.264,0.565,2026-06-22T17:12:21.23Z,True,1,5,4,NASDAQ,3,False
AMD,Advanced Micro Devices Inc,1832,1,0.438432,196.1774,177.81,405.558,2026-03-17T20:52:56.463Z,True,1,5,4,NASDAQ,8,False
EMAAR.AE,Emaar Properties PJSC,10002,1,0.420558,12.58,2.393,5.69,2026-06-17T09:02:33.383Z,True,1,5,39,DFM,4,False
