symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,23,8.880701,438.3001,-191.134,-21.522,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GOOG,Alphabet,1002,7,7.715729,306.8915,80.013,10.37,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
NVDA,NVIDIA Corporation,1137,23,7.693476,173.187,3353.399,435.876,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,9,7.123456,398.0824,-56.732,-7.964,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
AMZN,Amazon.com Inc,1005,22,5.490897,207.9578,806.954,146.962,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
AAPL,Apple,1001,11,4.939035,262.8583,267.746,54.21,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,5,4.745777,31.9824,-127.807,-26.931,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
META,Meta Platforms Inc,1003,12,4.190555,663.0148,-33.152,-7.911,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.131582,2.0808,551.259,133.426,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,3,2.374553,362.5559,94.903,39.966,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
0700.HK,Tencent,2339,6,1.899643,529.71,-64.209,-33.8,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
DTE.DE,Deutsche Telekom AG,1207,2,1.899642,29.61,-27.12,-14.277,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
AVGO,Broadcom Inc,4236,2,1.898482,391.1999,2.801,1.476,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
9201.T,Japan Airlines Co. Ltd.,14710,3,1.012866,2596.9562,33.492,33.067,2026-06-11T06:26:00.36Z,True,1,5,56,Tokyo,1,False
7012.T,Kawasaki Heavy Industries Ltd.,14641,2,0.957907,2866.1301,-12.939,-13.508,2026-06-15T02:31:00.367Z,True,1,5,56,Tokyo,1,False
6702.T,Fujitsu Ltd.,14619,1,0.949821,3423.18,-4.878,-5.136,2026-05-27T00:03:51.82Z,True,1,5,56,Tokyo,1,False
UCG.MI,UniCredit Commercial Bank,1307,1,0.949821,73.16,11.851,12.477,2026-06-12T12:39:58.723Z,True,1,5,11,CBOE EU,4,False
V,Visa,1046,1,0.949821,318.6365,9.253,9.742,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
