symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
GOOG,Alphabet,1002,8,8.526595,305.3962,75.859,8.897,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
MSFT,Microsoft,1004,22,7.803846,437.7277,439.999,56.382,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
NVDA,NVIDIA Corporation,1137,23,7.570242,172.6349,3569.978,471.58,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
GLD,SPDR Gold,3025,9,7.009354,398.0824,6.521,0.93,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,6,5.604079,25.8283,-90.3,-16.113,2026-05-21T13:55:38.323Z,True,1,6,20,eToro,4,False
AAPL,Apple,1001,10,5.140304,281.2758,145.637,28.332,2025-09-08T16:59:47.893Z,True,1,5,4,NASDAQ,3,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,4.065404,2.0808,635.906,156.419,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
AMZN,Amazon.com Inc,1005,20,4.001351,197.7621,1118.336,279.49,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,5,3.738429,385.1199,83.363,22.299,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
MU,"Micron Technology, Inc.",1130,4,3.270927,997.8663,-38.183,-11.673,2026-06-24T20:36:14.73Z,True,1,5,4,NASDAQ,8,False
META,Meta Platforms Inc,1003,10,3.188825,694.7317,-165.64,-51.944,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
NKE,NIKE,1042,2,1.869214,43.7042,-11.332,-6.062,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
AVGO,Broadcom Inc,4236,2,1.868073,391.1999,13.147,7.037,2026-06-09T15:55:39.087Z,True,1,5,4,NASDAQ,8,False
0700.HK,Tencent,2339,5,1.729025,535.4595,-53.909,-31.179,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
V,Visa,1046,2,1.401911,332.7577,14.182,10.116,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
ROP.ZU,Roche Holding Ltd,1402,2,1.4019,359.8333,5.362,3.825,2026-07-27T11:00:57.837Z,True,1,5,12,CBOE EU,3,False
NEM,Newmont Mining Corp,1757,2,0.934608,99.0847,37.33,39.942,2026-07-14T00:05:39.82Z,True,1,5,5,NASDAQ,1,False
NOVN.ZU,Novartis AG,2948,2,0.934608,127.45,-1.527,-1.634,2026-07-28T09:16:50.963Z,True,1,5,12,CBOE EU,5,False
ITX.MC,Industria de Diseno Textil SA,1332,2,0.934608,57.66,4.869,5.21,2026-07-31T14:12:01.227Z,True,1,5,10,CBOE EU,3,False
LLY,Eli Lilly & Co,1567,1,0.934607,1205.96,0.749,0.801,2026-07-24T14:17:57.01Z,True,1,5,5,NASDAQ,5,False
INVEB.ST,Investor AB ser. B,5854,1,0.934607,404.65,6.176,6.608,2026-07-28T09:15:28.777Z,True,1,5,15,Nasdaq Nordic,4,False
UCG.MI,UniCredit Commercial Bank,1307,1,0.934607,73.16,15.748,16.85,2026-06-12T12:39:58.723Z,True,1,5,11,CBOE EU,4,False
DTE.DE,Deutsche Telekom AG,1207,1,0.934607,32.53,-14.0,-14.98,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
JPM,JPMorgan Chase & Co,1023,1,0.934586,325.1427,10.259,10.977,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
7269.T,Suzuki Motor Corp.,14651,1,0.934494,1960.25,3.529,3.777,2026-05-27T00:06:46.973Z,True,1,5,56,Tokyo,1,False
ASML.NV,ASML Holding NV,4509,1,0.934475,1421.6,10.368,11.095,2026-07-31T14:09:42.897Z,True,1,5,30,Euronext,8,False
URW.PA,Unibail-Rodamco-Westfield,4548,1,0.934157,105.75,-0.562,-0.601,2026-07-28T10:01:52.613Z,True,1,5,9,Euronext,4,False
ETOR,eToro Group LTD,12200,2,0.933371,38.2257,-45.803,-49.073,2026-06-26T17:17:57.44Z,True,1,5,4,NASDAQ,4,False
INCY,Incyte Corp.,4080,1,0.930124,119.4244,0.608,0.653,2026-08-06T13:31:47.427Z,True,1,5,4,NASDAQ,5,False
EXEL,Exelixis Inc,6084,1,0.767032,55.4996,-7.549,-9.842,2026-07-22T13:46:47.86Z,True,1,5,4,NASDAQ,3,False
WDC,Western Digital Corporation,1129,1,0.467304,440.0,-0.016,-0.034,2026-08-11T00:58:17.013Z,True,1,5,4,NASDAQ,8,False
INSW,International Seaways Inc,9517,1,0.467304,96.3628,-7.734,-16.551,2026-07-31T18:16:55.38Z,True,1,5,5,NASDAQ,6,False
3998.HK,Bosideng Intl Hldgs Ltd,13752,1,0.467304,4.94,-3.302,-7.065,2026-07-29T01:40:55.653Z,True,1,5,21,HKEX,1,False
SNDK,Sandisk Corp/DE,8804,1,0.467304,1263.99,1.298,2.778,2026-08-06T13:56:02.68Z,True,1,5,4,NASDAQ,8,False
