BuySell,investmentPctRealized,profitPct,valuePctUnrealized,positionValue,name,ticker,Exchange,Sector,AssetClass
BUY,0.199398,16.81069,0.227063,0.2329181796462,Oil (Non Expiry),OIL,Commodity,,Commodity
BUY,3.390314,2.067765,3.373425,3.4604177262821,Meta Platforms Inc,META,Nasdaq,Technology,Stocks
BUY,8.376071,-3.144095,7.90877,8.11271937049255,Microsoft,MSFT,Nasdaq,Technology,Stocks
BUY,5.709644,13.101114,6.295329,6.45767096943416,Amazon.com Inc,AMZN,Nasdaq,Services,Stocks
BUY,0.797721,-5.5445,0.734549,0.753491359155,UnitedHealth,UNH,NYSE,Healthcare,Stocks
BUY,0.398861,4.536,0.406471,0.41695333496,Citigroup,C,NYSE,Financial,Stocks
BUY,0.398861,-2.357,0.379669,0.38945984623,"Autodesk, Inc.",ADSK,Nasdaq,Technology,Stocks
BUY,8.376031,9.310901,8.92574,9.15591495413931,NVIDIA Corporation,NVDA,Nasdaq,Technology,Stocks
BUY,0.398861,0.471,0.390665,0.40073963531,Alibaba-ADR,BABA,NYSE,Services,Stocks
BUY,0.398861,-4.841,0.37001,0.37955213899,Infineon Technologies AG,IFX.DE,FRA,Technology,Stocks
BUY,0.398861,-1.045,0.38477,0.39469290255,Accor S.A.,AC.PA,Euronext Paris,Services,Stocks
BUY,0.392016,1.365431,0.387379,0.39736870798896,Fomento de Construcciones,FCC.MC,Bolsa De Madrid,Industrial Goods,Stocks
BUY,0.398861,1.832,0.395957,0.40616813352,Sacyr,SCYR.MC,Bolsa De Madrid,Industrial Goods,Stocks
BUY,0.398861,2.114,0.397053,0.40729292154,Lowe's Companies Inc,LOW,NYSE,Consumer Goods,Stocks
BUY,0.398861,0.969,0.392601,0.40272596309,ConocoPhillips Co,COP,NYSE,Basic Materials,Stocks
BUY,0.398861,6.559,0.414337,0.42502229299,Reinsurance Group America Inc,RGA,NYSE,Financial,Stocks
BUY,0.398861,-10.796,0.346855,0.35579996644,IQVIA Holdings Inc.,IQV,NYSE,Healthcare,Stocks
BUY,0.398861,-0.918,0.385264,0.39519945602,Lam Research Corp,LRCX,Nasdaq,Technology,Stocks
BUY,0.398861,19.719,0.465507,0.47751240059,Prudential,PRU.L,LSE,Financial,Stocks
BUY,0.398861,3.864,0.403858,0.41427298904,Flutter Entertainment,FLTR.L,LSE,Services,Stocks
BUY,0.398861,-3.136,0.37664,0.38635271904,Smurfit WestRock Public Limited Company,SWR.L,LSE,Services,Stocks
BUY,0.398861,-1.423,0.3833,0.39318520797,DSV A/S,DSV.CO,Copenhagen Stock Exchange,Industrial Goods,Stocks
BUY,0.398861,1.175,0.393402,0.40354761675,Lenovo Group,0992.HK,Hong Kong Exchanges,Technology,Stocks
